id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1095149194566717128,Riverside Cozy Stay,458194786,Minh Tuan,,West End,-27.48627,152.99747,Private room,74,1,57,2025-10-23,2.73,1,6,30,
1095862214814942635,Ideal Location-2BD 2BA & Parking in St Brisbane M1,166518895,Alice,,South Brisbane,-27.47771,153.01537,Entire home/apt,228,1,41,2025-11-08,2.17,43,51,27,
1095933555098816697,Private room8 .Very comfortable! Best location!,439575394,Yanming,,Windsor,-27.43675,153.0327,Private room,,7,3,2024-09-01,0.15,8,0,0,
1095997269454322636,Charming Queenslander Apartment on Teneriffe Hill,19986584,Lucien,,New Farm,-27.46013,153.04598,Entire home/apt,,1,75,2025-04-28,3.62,1,0,28,
1096055598528350967,Leafy 2BR Cottage w/ Large Balcony & Backyard,78924442,Lee,,Auchenflower,-27.471276389191342,152.9936569990779,Entire home/apt,143,1,40,2025-10-27,1.97,291,350,20,
1096088625302499165,Junior - a tiny cottage,248391699,Haneen,,Pinjarra Hills - Pullenvale,-27.55892,152.85631,Entire home/apt,,1,31,2024-10-03,1.66,1,62,0,
1096720032373123374,Modern 5-Bedroom House w/ Outdoor Pool @Robertson,97177917,Olivia,,Robertson,-27.56369,153.06201,Entire home/apt,767,2,32,2025-04-19,1.63,135,326,13,
1097319562903061494,"Stylish Apt w/ Balcony, Gym, Pool & Near Southbank",537963586,Daniel,,South Brisbane,-27.4778042,153.014068,Entire home/apt,183,1,15,2025-09-25,0.75,57,323,6,
1097434220573644054,CityView|Free Parking+Pool|4 min walk to Chinatown,557710252,Angeline,,Fortitude Valley,-27.45669,153.03259,Entire home/apt,185,1,126,2025-11-04,6.16,2,120,69,
1097561147507643165,1 Bdr Apt w/ AC & Kitchen | Parking | 235F1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.55398,153.01632,Entire home/apt,230,1,2,2024-06-30,0.10,105,343,0,
